bs,seq,nh,nkv,hd,t_measured_ms
1,2048,16,8,128,0.12828409671783447
1,2048,32,2,128,0.2404097467660904
1,2048,32,8,128,0.2408246509730816
1,2048,64,2,128,0.4489789716899395
1,2048,128,1,64,0.5112811923027039
1,2048,128,2,128,0.8589187636971474
1,3358,2,1,64,0.06198324263095856
1,3358,2,2,64,0.06201490759849548
1,3358,2,4,128,-1.0
1,3358,4,1,64,0.08575804531574249
1,3358,4,4,64,0.08451007306575775
1,3358,8,1,64,0.12652436271309853
1,3358,8,4,64,0.1272931694984436
1,3358,8,8,128,0.1958981156349182
1,3358,16,2,128,0.3698766231536865
1,3358,16,8,128,0.3700372762978077
1,3358,32,2,128,0.6286543793976307
1,3358,64,1,64,0.7305387407541275
1,3358,64,4,64,0.732779037207365
1,3358,64,8,128,1.2096925638616085
1,3358,128,2,128,2.5297836400568485
1,4096,2,1,64,0.07055792957544327
1,4096,2,1,128,0.11385185644030571
1,4096,2,2,64,0.0698859803378582
1,4096,2,2,128,0.11209212243556976
1,4096,2,4,64,-1.0
1,4096,2,8,64,-1.0
1,4096,4,1,64,0.09970972314476967
1,4096,4,2,128,0.15279604122042656
1,4096,4,8,64,-1.0
1,4096,8,1,64,0.15238020569086075
1,4096,8,2,128,0.2411450259387493
1,4096,8,8,128,0.2380087971687317
1,4096,16,2,128,0.4496830515563488
1,4096,32,1,64,0.5036978982388973
1,4096,32,4,64,0.5133301019668579
1,4096,32,8,128,0.8531589992344379
1,4096,64,2,128,1.7776130698621273
1,4096,128,1,64,2.01670965179801
1,4096,128,4,64,2.010821830481291
1,4096,128,8,64,2.051333896815777
1,4553,2,8,64,-1.0
1,4553,4,1,64,0.1683467999100685
1,4553,4,2,128,0.26239315047860146
1,4553,4,8,64,-1.0
1,4553,4,8,128,-1.0
1,4553,8,1,128,0.39470894262194633
1,4553,8,4,128,0.39342790842056274
1,4553,16,1,128,0.6176787428557873
1,4553,16,8,64,0.37352461367845535
1,4553,32,1,128,1.0637780651450157
1,4553,32,8,64,0.6843330338597298
1,4553,64,1,128,2.101955935359001
1,4553,64,8,64,1.3536568731069565
1,4553,128,1,128,4.57721296697855
1,4553,128,8,64,2.6026773266494274
1,8192,2,4,128,-1.0
1,8192,4,1,64,0.2875118516385555
1,8192,4,2,128,0.4585473798215389
