seq,dim,t_measured_ms
81699,13952,11.09069399535656
81699,14072,11.36412750929594
81699,14371,11.788178235292435
81699,14587,11.848755180835724
81699,14807,12.151946313679218
81699,14976,11.928432621061802
81699,15215,12.520672753453255
81699,15443,12.58572842925787
81699,15667,12.78623379766941
81699,15871,13.059090822935104
81699,16098,13.240974396467209
81699,16296,13.018741272389889
82013,128,0.1498199999332428
82013,133,0.1583639532327652
82013,165,0.19151531159877777
82013,256,0.24821795523166656
82013,293,0.2906164154410362
82013,452,0.4092380404472351
82013,512,0.4467722028493881
82013,702,0.6074411794543266
82013,749,0.6400160491466522
82013,856,0.7191821932792664
82013,1024,0.8440427482128143
82013,1428,1.1720340698957443
82013,1535,1.2567359954118729
82013,1615,1.3222694396972656
82013,1897,1.5466473996639252
82013,2048,1.652022823691368
82013,2179,1.7651068046689034
82013,2312,1.8747048452496529
82013,2409,1.9497750326991081
82013,2818,2.2661183029413223
82013,3086,2.4813124909996986
82013,3272,2.6293089613318443
82013,3767,3.023570403456688
82013,4096,3.2643014565110207
82013,4385,3.5094469785690308
82013,4519,3.615555353462696
82013,4858,3.877628594636917
82013,5313,4.243924282491207
82013,5577,4.472270607948303
82013,5970,4.776454530656338
82013,6263,5.005665123462677
82013,6572,5.309336818754673
82013,6758,5.5045317858457565
82013,6849,5.56577742099762
82013,7060,5.693934857845306
82013,7295,5.975591950118542
82013,7571,6.191393360495567
82013,7778,6.328735500574112
82013,8066,6.549912504851818
82013,8213,6.756756454706192
82013,8466,7.026989012956619
82013,8690,7.2007449343800545
82013,8906,7.396900095045567
82013,9085,7.47881643474102
82013,9225,7.614334113895893
82013,9649,7.946326397359371
82013,9881,8.097970858216286
82013,10105,8.3322674036026
82013,10712,8.75625666230917
82013,11022,9.063736535608768
82013,11336,9.223701432347298
82013,11498,9.510158561170101
82013,11672,9.517836384475231
82013,12273,9.995969943702221
82013,12377,10.083870962262154
82013,12664,10.380600579082966
82013,12996,10.543666779994965
82013,13216,10.63716970384121
82013,13678,11.256161145865917
82013,13952,11.177187785506248
82013,14072,11.437884531915188
82013,14371,11.885169893503189
82013,14587,12.235144153237343
82013,14807,12.16397900134325
82013,14976,11.953615583479404
82013,15215,12.681340798735619
82013,15443,12.829145416617393
82013,15667,12.851224280893803
82013,15871,13.177616521716118
82013,16098,13.46020121127367
82013,16296,13.091443106532097
82756,745,0.6519509479403496
82756,819,0.7078219205141068
82756,870,0.7455488666892052
82756,1024,0.8592419326305389
82756,1406,1.1634258553385735
82756,1535,1.2721279636025429
82756,1648,1.3567013666033745
82756,1932,1.5786802396178246
82756,2149,1.751796342432499
82756,2245,1.8371688202023506
82756,2363,1.9322074949741364
82756,2421,1.9703162834048271
82756,2820,2.2925185039639473
82756,3098,2.516576088964939
82756,3630,2.9333969578146935
82756,3791,3.060499206185341
82756,4266,3.440713509917259
82756,4412,3.5547902807593346
82756,4561,3.6759385839104652
82756,5195,4.1686296463012695
82756,5405,4.350929521024227
82756,5604,4.506796598434448
82756,6034,4.852580837905407
82756,6357,5.135102197527885
82756,6647,5.4327575489878654
82756,6775,5.527891218662262
82756,6879,5.606993101537228
82756,7080,5.744141526520252
82756,7320,5.945960991084576
82756,7601,6.222497671842575
82756,7780,6.3188159838318825
82756,8144,6.553336977958679
82756,8332,6.889329291880131
82756,8504,7.070092484354973
82756,8694,7.223944179713726
82756,8954,7.467393763363361
82756,9106,7.539263926446438
82756,9234,7.634430192410946
82756,9715,8.026386611163616
82756,9966,8.218606933951378
82756,10314,8.57590977102518
82756,10874,8.974650874733925
82756,11023,9.100984781980515
82756,11351,9.374192915856838
82756,11507,9.524238295853138
82756,11822,9.718856774270535
82756,12300,10.005890391767025
82756,12553,10.444119572639465
82756,12895,10.605202056467533
82756,13002,10.799628682434559
