M,N,K,t_measured_ms
2,26362,4507,0.19010738469660282
2,26362,5756,0.15687593258917332
2,26362,6918,0.18345145508646965
2,26362,8149,0.32372004352509975
2,26362,8795,0.34919194877147675
2,26362,9495,0.374071067199111
2,26362,10776,0.27082534506917
2,26362,11128,0.2812568563967943
2,26362,13014,0.32416777685284615
2,26362,13681,0.525779090821743
2,26362,16048,0.3567272797226906
2,26616,256,0.03495905548334122
2,26616,512,0.03593508154153824
2,26616,1205,0.06882986053824425
2,26616,1907,0.096125528216362
2,26616,2510,0.08286186493933201
2,26616,3213,0.14367583207786083
2,26616,5338,0.1478041522204876
2,26616,6517,0.2647615037858486
2,26616,7269,0.29130512848496437
2,26616,8766,0.22401032038033009
2,26616,8977,0.35474286414682865
2,26616,10509,0.4130133893340826
2,26616,11015,0.42939698323607445
2,26616,13014,0.2938169054687023
2,26616,13681,0.5276189185678959
2,26616,16048,0.29725697822868824
2,28760,256,0.03913487307727337
2,28760,790,0.050478847697377205
2,28760,1743,0.09087799116969109
2,28760,2287,0.11130888015031815
2,28760,2826,0.13110064901411533
2,28760,4507,0.19621942192316055
2,28760,5756,0.16060401685535908
2,28760,6918,0.188939506188035
2,28760,8149,0.3339122049510479
2,28760,8968,0.18513202667236328
2,28760,9110,0.2402663230895996
2,28760,10509,0.42047002352774143
2,28760,11015,0.4375888966023922
2,28760,13249,0.5211555399000645
2,28760,14925,0.5851055029779673
2,28760,16384,0.30085653997957706
2,30348,1024,0.06388640031218529
2,30348,1743,0.0921573955565691
2,30348,2287,0.11164508759975433
2,30348,2826,0.1325090415775776
2,30348,4507,0.19613862968981266
2,30348,5756,0.16118003986775875
2,30348,6918,0.1892277505248785
2,30348,8149,0.33299950882792473
2,30348,8795,0.3572870045900345
2,30348,9495,0.3840222489088774
2,30348,10776,0.28360914438962936
2,30348,11128,0.29245694167912006
2,30348,13014,0.3541030455380678
2,30348,13681,0.5449464078992605
2,30348,16048,0.42666145600378513
2,30909,256,0.029150862246751785
