seq,dim,t_measured_ms
40790,2388,0.9752707555890084
40790,2605,1.0647717863321304
40790,3064,1.2356797233223915
40790,3235,1.309853978455067
40790,3758,1.5102960169315338
40790,4052,1.620500348508358
40790,4347,1.7403699457645416
40790,4482,1.7941929399967194
40790,4780,1.912910491228104
40790,5310,2.1206801757216454
40790,5453,2.1812543272972107
40790,5894,2.3496337234973907
40790,6236,2.486974000930786
40790,6519,2.5997385382652283
40790,6747,2.687543630599976
40790,6817,2.7160560712218285
40790,7026,2.80117429792881
40790,7288,2.89877038449049
40790,7557,3.0072806403040886
40790,7737,3.081070259213448
40790,8009,3.191308118402958
40790,8192,3.2627303153276443
40790,8415,3.4344689920544624
40790,8617,3.5057952627539635
40790,8899,3.607007674872875
40790,9059,3.674655221402645
40790,9211,3.726140595972538
40790,9455,3.818809986114502
40790,9782,3.9228079840540886
40790,10035,4.033107310533524
40790,10649,4.29188646376133
40790,10978,4.419337958097458
40790,11126,4.480584524571896
40790,11452,4.570054821670055
40790,11592,4.629605449736118
40790,11947,4.77081723511219
40790,12333,4.922877065837383
40790,12596,5.044985562562943
40790,12935,5.159703083336353
40790,13123,5.241717211902142
40790,13678,5.534925498068333
40790,13952,5.616363137960434
40790,14072,5.686185322701931
40790,14371,5.907970480620861
40790,14587,5.969313904643059
40790,14807,6.023360416293144
40790,14976,5.9492820873856544
40790,15215,6.258200854063034
40790,15443,6.312697194516659
40790,15667,6.437588483095169
40790,15871,6.508883088827133
40790,16047,6.517491303384304
40790,16222,6.50248397141695
41436,133,0.088701955974102
41436,256,0.1436760649085044
41436,452,0.2280259504914283
41436,562,0.2747122198343277
41436,749,0.3472873941063881
41436,918,0.4158932715654373
41436,1428,0.6171036511659622
41436,1551,0.6669908761978149
41436,1664,0.705452635884285
41436,1932,0.8133538067340851
41436,2149,0.8994638919830322
41436,2245,0.9363582357764244
41436,2363,0.9844228625297546
41436,2421,1.0102447122335434
41436,2820,1.1608023196458817
41436,3098,1.2750383466482162
41436,3630,1.4841854572296145
41436,3791,1.5481188893318176
41436,4266,1.7377138137817385
41436,4412,1.7910879105329514
41436,4561,1.8644295632839205
41436,5195,2.1107280626893044
41436,5405,2.1929340437054634
41436,5604,2.271491102874279
41436,6034,2.4427827447652817
41436,6357,2.573114819824696
41436,6647,2.6888251304626465
41436,6775,2.7348408475518227
41436,6879,2.786422148346901
41436,7080,2.859252505004406
41436,7320,2.9573943465948105
41436,7601,3.062191419303417
41436,7780,3.1417403370141983
41436,8144,3.289224579930305
41436,8332,3.414694219827652
41436,8504,3.499619662761688
41436,8694,3.582688979804516
41436,8954,3.690366633236408
41436,9106,3.7472927942872047
41436,9234,3.786170855164528
41436,9715,3.9778146892786026
41436,9966,4.073619842529297
41436,10314,4.193552769720554
41436,10874,4.414794035255909
41436,11023,4.503943957388401
41436,11351,4.626342095434666
41436,11507,4.692579619586468
41436,11822,4.809504374861717
41436,12300,4.957341589033604
41436,12553,5.13976626098156
41436,12895,5.239508114755154
41436,13002,5.354610271751881
41436,13476,5.5083017796278
41436,13804,5.654536187648773
41436,14028,5.721256136894226
41436,14210,5.8601973578333855
41436,14530,5.963138304650784
41436,14676,5.959298461675644
41436,14932,6.081854924559593
41436,15130,6.213243119418621
41436,15246,6.264474242925644
41436,15594,6.460181437432766
41436,15854,6.5558897331357
41436,15984,6.413429975509644
41436,16193,6.58622570335865
41436,16384,6.52779545634985
41517,1585,0.6950544193387032
41517,1798,0.7686838507652283
41517,1998,0.8420897647738457
41517,2174,0.907624140381813
41517,2304,0.9552063420414924
41517,2388,0.9910138323903084
41517,2605,1.0794587433338163
41517,3064,1.255486160516739
41517,3235,1.3273563235998154
41517,3758,1.5410473570227623
41517,4052,1.6587069258093834
41517,4347,1.7749611288309095
41517,4482,1.8401751294732092
41517,4780,1.9497722387313845
41517,5310,2.162983641028404
41517,5453,2.218756824731827
41517,5894,2.392064779996872
41517,6236,2.5320611894130707
41517,6519,2.6494022458791733
41517,6747,2.732726745307445
41517,6817,2.764534205198288
41517,7026,2.8410768136382103
41517,7288,2.948848530650139
41517,7557,3.0576149001717567
41517,7737,3.127853386104107
41517,8009,3.231913782656193
41517,8192,3.315175883471966
41517,8415,3.489731810986996
41517,8617,3.563232719898224
41517,8899,3.6769909784197807
41517,9059,3.731388598680496
41517,9211,3.797562792897224
41517,9455,3.886585123836994
41517,9782,4.02885302901268
41517,10035,4.124113358557224
41517,10649,4.362284205853939
41517,10978,4.480425268411636
41517,11126,4.546694457530975
41517,11452,4.658629186451435
41517,11592,4.698531702160835
41517,11947,4.862815141677856
41517,12333,5.012795329093933
41517,12596,5.101080052554607
41517,12935,5.356562323868275
41517,13123,5.456847138702869
41517,13678,5.650633946061134
41517,13952,5.646857433021069
41517,14072,5.7426942512393
41517,14371,6.022367626428604
41517,14587,6.072702817618847
41517,14807,6.160124205052853
41517,14976,6.039167754352093
41517,15215,6.3614314422011375
41517,15443,6.394550204277039
41517,15667,6.503347307443619
41517,15871,6.7062219604849815
41517,16098,6.763244979083538
41517,16296,6.624111905694008
41877,165,0.1082848757505416
41877,293,0.1689866185188293
41877,452,0.2352576702833175
41877,562,0.2791611477732658
41877,749,0.3541996702551842
41877,870,0.399668700993061
41877,1044,0.468115322291851
41877,1469,0.6420295685529709
41877,1615,0.6987331435084343
41877,1897,0.8108904585242271
41877,2048,0.8621532469987869
41877,2179,0.9168069809675216
41877,2312,0.9713340550661088
41877,2409,1.0108854621648788
41877,2818,1.1730575934052467
41877,3086,1.2824945151805878
41877,3272,1.3549719005823135
41877,3767,1.555190421640873
41877,4096,1.67851522564888
41877,4385,1.8092961981892584
41877,4519,1.8650069832801817
41877,4858,1.98932271450758
41877,5313,2.1782787516713142
41877,5577,2.285826951265335
41877,5970,2.4450868368148804
41877,6263,2.563323825597763
41877,6572,2.6858486235141754
41877,6758,2.761942334473133
41877,6849,2.811669372022152
41877,7060,2.8811078518629074
41877,7295,2.9743844643235207
41877,7571,3.0919816344976425
41877,7778,3.1776437535882
41877,8066,3.2867928966879845
41877,8213,3.412229008972645
41877,8466,3.5391710698604584
41877,8690,3.614048473536968
41877,8906,3.725341521203518
41877,9085,3.762909211218357
41877,9225,3.830362111330032
41877,9649,3.986069932579994
41877,9881,4.082547500729561
41877,10105,4.165617749094963
41877,10712,4.411115311086178
41877,11022,4.557287320494652
41877,11336,4.67347539961338
41877,11498,4.752033390104771
41877,11672,4.797088913619518
41877,12273,5.02249039709568
41877,12377,5.096825771033764
41877,12664,5.188118666410446
41877,12996,5.393423140048981
41877,13216,5.416560918092728
41877,13700,5.675625056028366
41877,13978,5.883523263037205
41877,14182,5.940001457929611
41877,14524,6.00476935505867
41877,14609,6.1067817732691765
41877,14924,6.159485317766666
41877,15104,6.19945116341114
41877,15245,6.337336264550686
41877,15467,6.568050011992455
41877,15686,6.512883119285107
41877,15977,6.644015200436115
41877,16111,6.686766631901264
41877,16299,6.7320773378014565
42251,435,0.2293381839990615
42251,512,0.2564741298556328
42251,702,0.3347117453813553
42251,819,0.3821654245257377
42251,918,0.420532189309597
42251,1406,0.6189597770571709
42251,1535,0.6684297695755959
42251,1648,0.7126852869987488
