bs,seq,nh,nkv,hd,t_measured_ms
1,28451,16,4,128,22.46825397014618
1,28451,32,1,128,43.50109118968248
1,28451,32,8,64,24.492311291396614
1,28451,64,1,128,85.28201282024384
1,28451,64,8,128,85.34773997962475
1,28451,128,2,128,168.48592599853873
1,32768,2,1,64,2.0560710690915585
1,32768,2,1,128,3.660281654447317
1,32768,2,2,64,2.015431877225637
1,32768,2,2,128,3.670681733638048
1,32768,2,4,64,-1.0
1,32768,2,4,128,-1.0
1,32768,2,8,64,-1.0
1,32768,2,8,128,-1.0
1,32768,4,1,64,4.034863784909248
1,32768,4,1,128,7.235478144139051
1,32768,4,2,64,4.024847876280546
1,32768,4,2,128,7.356594782322645
1,32768,4,4,64,4.057933576405048
1,32768,4,4,128,7.352882996201515
1,32768,4,8,64,-1.0
1,32768,4,8,128,-1.0
1,32768,8,1,64,8.103101048618555
1,32768,8,2,64,8.12188582494855
1,32768,8,2,128,14.727365225553513
1,32768,8,8,128,14.716390054672956
1,32768,16,2,64,16.21289225295186
1,32768,16,4,64,16.25858573243022
1,32768,16,8,64,16.172510106116533
1,32768,32,1,128,57.35654523596168
1,32768,32,8,64,32.10400091484189
1,32768,64,1,128,113.07534435763957
1,32768,64,8,128,113.27617010101676
1,32768,128,2,128,221.48438496515155
1,33745,2,1,64,2.167235128581524
1,33745,2,1,128,3.7972056306898594
1,33745,2,2,64,2.158627845346928
1,33745,2,2,128,3.758838865906
1,33745,2,4,64,-1.0
1,33745,2,4,128,-1.0
1,33745,2,8,64,-1.0
1,33745,2,8,128,-1.0
1,33745,4,1,64,4.272521007806063
1,33745,4,1,128,7.812262047082186
1,33745,4,2,64,4.2447783052921295
1,33745,4,2,128,7.76768708601594
1,33745,4,4,64,4.248329903930426
1,33745,4,4,128,7.722345180809498
1,33745,4,8,64,-1.0
1,33745,4,8,128,-1.0
1,33745,8,1,64,8.586767595261335
1,33745,8,1,128,15.44260885566473
1,33745,8,2,64,8.581553120166063
